12/05-14:46:40.084199 ,120,3,1,(http_inspect) NO CONTENT-LENGTH OR TRANSFER-ENCODING IN HTTP RESPONSE,TCP,93186247233,80,192.168.1.104,55798,C4:EA:1D:17:4D:D4,00:1B:21:AE:28:67,0x4CD3,***A****,0x59B0B928,0x9251D09B,,0xEA1,63,0,10285,19653,202032,,,,
12/05-14:46:40.080773 ,120,3,1,(http_inspect) NO CONTENT-LENGTH OR TRANSFER-ENCODING IN HTTP RESPONSE,TCP,192.168.1.104,8000,54.38.47.72,49814,00:1B:21:AE:28:67,C4:EA:1D:17:4D:D4,0x4242,***A****,0x42620770,0x879D9570,,0xFF5,50,0,4542,16948,53512,,,,
12/05-14:46:40.080668 ,120,3,1,(http_inspect) NO CONTENT-LENGTH OR TRANSFER-ENCODING IN HTTP RESPONSE,TCP,192.168.1.104,8000,51.91.24.35,56156,00:1B:21:AE:28:67,C4:EA:1D:17:4D:D4,0x47C2,***A****,0x31022E1,0x317B1E2B,,0xFF5,50,0,5759,18356,184604,,,,
12/05-14:46:57.046381 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.154,56836,3120198117,443,00:24:9B:04:34:61,C4:EA:1D:17:4D:D4,0x7A,***AP***,0xFE562B5F,0x61415255,,0x322,64,0,38682,108,110592,,,,
12/05-14:46:57.597088 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.154,56838,3120198117,443,00:24:9B:04:34:61,C4:EA:1D:17:4D:D4,0x7A,***AP***,0xABBCF3F2,0x997D756B,,0x338,64,0,61061,108,110592,,,,
12/05-14:46:58.106585 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.104,22,218.92.0.212,61007,00:1B:21:AE:28:67,C4:EA:1D:17:4D:D4,0x86,***AP***,0x819DA8D9,0x25D150AE,,0xF8,64,0,23150,120,122880,,,,
12/05-14:47:04.122680 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x6E,***AP***,0x4E9269CD,0xF2714CDF,,0x1F5,64,16,60073,96,98304,,,,
12/05-14:47:04.123405 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x6E,***AP***,0x4E926A65,0xF2714CDF,,0x1F5,64,16,60075,96,98304,,,,
12/05-14:47:04.123919 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0xB6,***AP***,0x4E926AB5,0xF2714CDF,,0x1F5,64,16,60077,168,172032,,,,
12/05-14:47:04.125880 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x86,***AP***,0x4E926C51,0xF2714CDF,,0x1F5,64,16,60080,120,122880,,,,
12/05-14:47:04.125958 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0xA6,***AP***,0x4E926D19,0xF2714CDF,,0x1F5,64,16,60082,152,155648,,,,
12/05-14:47:04.126150 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x86,***AP***,0x4E926FE5,0xF2714CDF,,0x1F5,64,16,60087,120,122880,,,,
12/05-14:47:04.128297 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0xAE,***AP***,0x4E927085,0xF2714CDF,,0x1F5,64,16,60089,160,163840,,,,
12/05-14:47:04.128416 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0xD6,***AP***,0x4E927209,0xF2714CDF,,0x1F5,64,16,60092,200,204800,,,,
12/05-14:47:04.128491 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0xBE,***AP***,0x4E9272E9,0xF2714CDF,,0x1F5,64,16,60094,176,180224,,,,
12/05-14:47:04.128568 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0xD6,***AP***,0x4E9273C9,0xF2714CDF,,0x1F5,64,16,60096,200,204800,,,,
12/05-14:47:04.128685 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0xCE,***AP***,0x4E92759D,0xF2714CDF,,0x1F5,64,16,60099,192,196608,,,,
12/05-14:47:04.128787 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0xBE,***AP***,0x4E9276BD,0xF2714CDF,,0x1F5,64,16,60101,176,180224,,,,
12/05-14:47:09.070626 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.104,22,218.92.0.212,61007,00:1B:21:AE:28:67,C4:EA:1D:17:4D:D4,0x86,***AP***,0x819DA961,0x25D15156,,0xF8,64,0,23160,120,122880,,,,
12/05-14:47:11.299464 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E92784D,0xF2714D0B,,0x1F5,64,16,60105,104,106496,,,,
12/05-14:47:11.576863 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E9278AD,0xF2714D37,,0x1F5,64,16,60107,104,106496,,,,
12/05-14:47:12.076430 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E92790D,0xF2714D63,,0x1F5,64,16,60109,104,106496,,,,
12/05-14:47:12.115290 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E92796D,0xF2714D8F,,0x1F5,64,16,60111,104,106496,,,,
12/05-14:47:12.136635 ,129,12,1,Consecutive TCP small segments exceeding threshold,TCP,192.168.1.170,22,192.168.1.151,48400,DC:A6:32:25:D8:43,70:18:8B:82:12:E5,0x76,***AP***,0x4E9279CD,0xF2714DBB,,0x1F5,64,16,60113,104,106496,,,,
